,Darija,English,MSA
52,"لباربا زوينا, والاكين تقدر تعطيك واحد لماداق حلو","Beets are good, but it might give you a sweet taste.",البنجر جيد، ولكن قد يعطيك طعمًا حلوًا.
53,الطوال ب طابيعت لحال,long ones of course,الطويلة بالطبع
54,"بغيتي بطاطا فريت معاهوم, تاهيا?","Do you want french fries with them, too?",هل تريد بطاطس مقلية معهم أيضًا؟
55,أُ أش بالّيك نمشيو ل سينما?,how about going to the cinema?,ما رأيك في الذهاب إلى السينما؟
56,ماعادا ألا عندك شي حاجة خرا بغيتي تزيدها,Unless you have anything else you would like to add,إلا إذا كان لديك أي شيء آخر تود إضافته
57,تبرّع ليا معا راسك!,enjoy!,استمتع!
58,ماتردّدش ترجع عندي,do not hesitate to come back to me,لا تتردد في العودة إليّ
59,دابا تايبالّيا عندي ڭاع داكشي اللي تانحتاج باش نحلّ هاد لموشكيل,"Now, I think I've got everything we need to solve this problem",الآن، أعتقد أنني حصلت على كل ما نحتاجه لحل هذه المشكلة
60,كنت غانقتارح هادشي تاهووا,I was going to suggest that too,كنت سأقترح ذلك أيضًا
61,خلّيني نڭولّيك واحد لحاجا,let me tell you something,دعني أخبرك بشيء
62,بعد لمرّات تانضحكو بعد لمرّات تانبكيو,sometimes we laugh sometimes we cry,أحيانًا نضحك وأحيانًا نبكي
63,"غانڭولّيك حاجة وحدا, كايعجبني!","I'll tell you one thing, I like it!",سأخبرك بشيء واحد، أنا أحبه!
64,"وايه, غاندير هادشي تاهوا","Yeah, I'm gonna do that, too.",نعم، سأفعل ذلك أيضًا.
65,هي قبل مانمشي النعسّ,just before going to bed,قبل الذهاب إلى الفراش مباشرة
66,عافاك حتارم لقاواعيد,please respect the rules,يرجى احترام القواعد
67,أنا متءكّد غاتحسّن قاريبان,I'm sure it'll be better soon.,أنا متأكد أن الأمور ستتحسن قريباً.
68,كيمّا قتارحتي,As you suggested,كما اقترحت
69,أساسان نتا تحت الضاغط دابا,basically you are under stress now,في الأساس، أنت تحت ضغط الآن
70,هادشي تايوقع ل عاداد من الناس هاد ليامات,which happens to many people these days,الذي يحدث للعديد من الناس في هذه الأيام
71,فنفس لوقت ماعندكش موشكيل فدماغك,Meanwhile you don't have a problem with your brain,في الوقت نفسه، ليس لديك مشكلة في دماغك
72,كيمّا كاتڭول,as you say,كما تقول
73,"أه, شوكران بزّاف علا الناصيحا ديالك.","Yes, thank you very much for your advice.",نعم، شكراً جزيلاً على نصيحتك.
74,تانضنّ أنّا هادشي إقدر إكون حلّ,I do think that could be a solution,أعتقد أن ذلك يمكن أن يكون حلاً
75,أُلّا علّ أقالّ خطوا فل إتّيجاه الصاحيح,or at least a step in the right direction,أو على الأقل خطوة في الاتجاه الصحيح
76,كانعتادر,I'm sorry,أنا آسف
77,ماكانعرفوش عليهوم بزّاف,we don't know much about them,لا نعرف الكثير عنهم
78,واش كاينين موديرات خرين فنفس لموستاوا ديالها,Are there any other managers on her level?,هل يوجد مديرون آخرون على مستواها؟
79,واش كاتعرفي ناس إمكن تهضري معاهوم بسوهولا,do you know people you can talk to easily?,هل تعرف أشخاصًا يمكنك التحدث معهم بسهولة؟
80,كانڭول أه,I'd say yes,سأقول نعم
81,"واييه, بزّاف ديال الناس","Ah yes, that is a lot of people",آه نعم، هذا عدد كبير من الناس
82,حنا شي 50,We're about 50.,نحن حوالي الخمسين.
83,كنّا شي عشرين واحد,we were about twenty people,كنا حوالي عشرين شخصًا
84,إمكن شي واهد فيهوم,maybe one of them,ربما أحدهم
85,معقولا,I see!,أرى!
86,والاكين أنا ماعندي التا حاجا نحتافل بيها,but I don't have anything to celebrate,ولكن ليس لدي ما أحتفل به
87,أنا راه غير واحد من لخدّاما,I'm just an employee among others,أنا مجرد موظف بين الآخرين
88,متّافق معاك,I agree with you,أنا أتفق معك
89,ألا كان شي واهد من لفرقا عندو شي حاجة مايڭول,if one of the team members has something to say,إذا كان أحد أعضاء الفريق لديه شيء ليقوله
90,إمكن ليك تقتارحها ف وقيتّ لغدا,you could suggest it at lunchtime,يمكنك أن تقترح ذلك في وقت الغداء
91,هادي طاريقا راإعا باش تحسّن لعالاقات تلخدما,this is an excellent way to improve work relationships,هذه طريقة ممتازة لتحسين علاقات العمل
92,"والاكين هيا ماتاتشربش لقهوا, أُ ماتاتكميش, داكشي علاش كاتڭلس فل بيرو.","But she doesn't drink coffee, and she doesn't smoke, so she stays in her office.",لكنها لا تشرب القهوة، ولا تدخن، لذا تبقى في مكتبها.
93,حشوما,It's a shame,إنه أمر مؤسف
94,"ألا عندنا ساباب معقول باش نهضرو معاها, هيا راه ديما مستاعدّا تهضر.","if we have a good reason to talk to her, she's always ready to talk.",إذا كان لدينا سبب وجيه للحديث معها، فهي دائمًا مستعدة للحديث.
95,"حرفيّان, لباب ديالو مسدود","Literally, his door is locked.",حرفيًا، بابه مُقفَل.
96,أش بالّيك?,what do you think?,ما رأيك؟
97,واحد أُلّا جوج منّكوم إقدر إناقش معاها هاد لمسألا,one or two of you could discuss this situation with her,يمكن لواحد أو اثنين منكم أن يناقشا هذا الموقف معها
98,ماعندهاش تيقا كافيا فل فرقا,she does not have enough confidence in the team,ليس لديها ثقة كافية بالفريق
99,"صافي, دابا نحاول الناقشها بلا مانعيّق","All right, I'll try to discuss it discreetly",حسنًا، سأحاول مناقشته بسرية
100,تايبان ليك خسّ نشدّ عوطلا?,Do you think I should take a vacation?,هل تعتقد أنني يجب أن آخذ إجازة؟
101,مومكين نقتارح عليك تهضر معا الناس اللي خدّامين معاك,May I suggest you speak to your colleagues,هل يمكنني أن أقترح عليك التحدث إلى زملائك
102,أش غاندير?,What do I do?,ماذا أفعل؟
103,هادشي عادي و التا حاجة ماكاتقلّق,This is very common and nothing to worry about.,هذا أمر شائع جدًا ولا يوجد ما يدعو للقلق.
104,الضاغط بلفيعل ءتّر علا لحالا لعاطيفيا لعامّا ديالك,the pressure has indeed affected your general emotional state,لقد أثر الضغط بالفعل على حالتك العاطفية العامة
105,"صافي, فهمتك.","ok, I get it.",حسنًا، أفهم ذلك.
106,"أه, غاليبان","Yeah, probably.",نعم، على الأرجح.
107,أه والاكين الترجاما كانت غالطا,Yes but the translation was wrong,نعم ولكن الترجمة كانت خاطئة
108,واش كايبالّيك أنّاها هيا تحت الضاغط من لمودير ديالها?,Do you feel she herself is under pressure from her director?,هل تشعر أنها هي نفسها تحت ضغط من مديرها؟
109,كايعجبني بزّاف.,I admire him very much.,أنا أعجب به كثيرًا.
110,إمكن هيا ديما خايفا ماتحقّقش ل أهداف ديالها.,Maybe she is constantly worried about not meeting her targets.,ربما هي قلقة باستمرار من عدم تحقيق أهدافها.
111,واش الناس اللي خدّامين معاك تايحسّو بتّاوتّور بحالك?,Do you have colleagues who feel stressed like you?,هل لديك زملاء يشعرون بالتوتر مثلك؟
112,شف ديالك مرا أُلّا راجل?,Is your boss a lady or a man?,هل مديرك امرأة أم رجل؟
113,تايبالّيا حنا كولّنا مسترسّيين و فنفس لوقت كولّنا تاتعجبنا.,I think we're all stressed and at the same time all admire her.,أعتقد أننا جميعًا متوترون وفي الوقت نفسه جميعًا نُعجب بها.
114,"مرا, تايبالّيا","A lady, I think.",سيدة، أعتقد.
115,"ڭلتها ليك, راه مرا.","I told you, it's a woman.",قلت لك، إنها امرأة.
116,زوينا بزّاف,Very beautiful,جميلة جدًا
117,والاكين لمولاحاضات ديالو ديما مبرّرين.,But his reviews are always justified.,لكن مراجعاته دائمًا ما تكون مبررة.
118,فاش تانكون معطّل شويا أُلّا ماتانديرش شي حاجة بغاتها,when I'm running a little late or I don't do whatever she wants,عندما أتأخر قليلاً أو لا أفعل ما تريده
119,حقّقت ل أهداف ديالي.,I hit my targets.,لقد أصبت أهدافي.
120,"تانخدم بزّاف, داكشي اللي تايخلّيني ندير خدمتي مزيان.","I work a lot, which allows me to do my job properly.",أعمل كثيرًا، مما يتيح لي أداء عملي بشكل صحيح.
121,"ڭولّيا, واش نتا قادّ تدير خدمتك بكولّ تيقا?","Tell me, are you able to do your work with confidence?",قل لي، هل أنت قادر على أداء عملك بثقة؟
122,واش كاتحسّ براسك ماقادّش توسّل ل أهداف اللي عوّلتي عليها?,do you feel unable to reach the expected targets?,هل تشعر بعدم القدرة على الوصول إلى الأهداف المتوقعة؟
123,تانهضر علا لمودير ديال لمصلاحا ديالي,I'm talking about the manager of my department,أنا أتحدث عن مدير قسمي
124,"أه, كاينا.","Yes, it is.",نعم، هو كذلك.
125,ماكاتّسامحش معا لبسالا,She doesn't tolerate mediocrity.,هي لا تتحمل الرتابة.
126,أيه أمولاي,"Yes, sir.",نعم، سيدي.
127,واش كاينين شي عيالات دايرين بيك اللي صعيب عليك التعامل معاهوم?,Are there any women around you that you find difficult to deal with?,هل يوجد نساء حولك تجدهن صعبات المعاملة؟
128,فلخدما ديالك أُلّا علا برّا,in your work or elsewhere,في عملك أو في مكان آخر
129,"أه, فهمتك.","Yes, I understand.",نعم، أنا أفهم.
130,"اللا, التا حاجة ماغريبا, فناضاري.","No, nothing special, I think.",لا، لا شيء مميز، أعتقد.
131,واش دوّزتي شي تاجاريب ماعاديّاش أُلّا فشكل موءخاران?,Have you had any unusual or unpleasant experiences recently?,هل مررت بأية تجارب غير عادية أو مزعجة مؤخرًا؟
132,شي حوايج اللي كاتحسّ إقدر إكونو بسباب شي حاجة درتيها,things that you feel may have been caused by something you did,أشياء تشعر أنها ربما تكون نتجت عن شيء قمت به
133,طابعان اللا.,Of course not.,بالطبع لا.
134,كايبالّيك أنا كانحماق?,You think I'm going crazy?,أتظن أنني أجن؟
135,"اللا, التا واهد ماكانعارفو.","No, no one I recognize.",لا، لا أعرف أحداً.
136,"ختك, لواليدا ديالك, شي صاديق?","Your sister, your mother, a friend?",أختك، أمك، صديقة؟
137,تقدر تجبد شي واهد كاتعارفو?,Can you recognize anybody you know?,هل تستطيع التعرف على أي شخص تعرفه؟
138,ديما نفس الصوت?,Is it always the same voice?,هل هي دائمًا نفس الصوت؟
139,"غاليبان, باش إنتاقدوني","Often, it's to criticize me.",غالبًا، الأمر لانتقادي.
140,صوت ديال لعيالات هوا لي مرّا مرّا كايعلّق علا داكشي اللي كاندير.,A female voice who sometimes comment on what I'm doing.,صوت أنثوي يعلق أحيانًا على ما أقوم به.
141,"شي شهورا هادو, بعد لمرّات كانحسّ بحال ألا كانسمع شي صوت كايهدر فوست راسي","For a few months, sometimes I feel like I hear a voice talking in my head.",لبضعة أشهر، أحيانًا أشعر وكأنني أسمع صوتًا يتحدث في رأسي.
142,أنا هنا باش نشوفك حيت ماكانفهمش أش كايوقع ليا,I'm here to see you because I don't understand what's happening to me,أنا هنا لأراك لأنني لا أفهم ما يحدث لي
143,كيفاش نقدر نعاونك?,How may I assist you?,كيف يمكنني مساعدتك؟
144,كانضنّ هادي أوّال مرّا كانتلاقاو.,I believe this is the first time we have met.,أعتقد أن هذه هي المرة الأولى التي نلتقي فيها.
145,بسلاما,Good-bye,وداعاً
146,عاود دوز ألا باقي عندك شي أسإلا.,Feel free to come back if you still have questions.,لا تتردد في العودة إذا كان لديك أسئلة أخرى.
147,مرحبا.,You're welcome.,على الرحب والسعة.
148,دابا نصيفتها ليك معا تكمل.,I'll send it over to you as soon as it's finished.,سأرسله إليك فور انتهائه.
149,لايسّر.,Good luck.,بالتوفيق.
150,ناضي.,Perfect.,مثالي.
151,كانواعدك.,I promise.,أعدك.
152,والاكين خسّك تحتارم هاد لوقت الجديد,But you must respect that new deadline,ولكن يجب عليك احترام ذلك الموعد النهائي الجديد
153,"واش مومكين ليك تزيدني شويا تلوقت, ڭول شي جوج سيمانات هاكّاك?","Would it be possible for you to give me an extension to the deadline, say another two weeks?",هل يمكنك منحي تمديدًا للموعد النهائي، لنقل أسبوعين آخرين؟
154,2000 كلما,2000 words,ألفا كلمة
155,شحال من كلما فشي فقرا صغيرا?,How many words is a short paragraph?,كم عدد الكلمات في فقرة قصيرة؟
156,"هادشي الصاراحا كايعاونّي نفكّر ف أش خسّني نكتب, لايحفدك","This is really helping me think through what I need to write, thank you.",هذا يساعدني حقًا على التفكير فيما أحتاج إلى كتابته، شكرًا لك.
157,أش وقع فداك لوقت?,What happened back then?,ماذا حدث في ذلك الوقت؟
158,واش نقدّم لماقال علا أنّاهو واقيعي أُلّا ناخود ويجهات ناضار سيياسيا?,Do I present the essay as factual or do I take a political view point?,هل أقدم المقال بشكل واقعي أم أتخذ وجهة نظر سياسية؟
159,هادشي تايبان موهيمّ.,That could be interesting.,ذلك قد يكون مثيرًا للاهتمام.
160,يالّاه شفت التاريخ ف ڭوڭل,I've just checked that date on Google,لقد تحققت للتو من ذلك التاريخ على جوجل
161,"أه, واخا.","Ah, ok.",آه، حسنًا.
162,إدان أوّال حاجة الديرها هيا تختار,So the first thing you do is choose.,فالشيء الأول الذي تفعله هو الاختيار.
163,هادي تقدر تكون تاريخيا,This one may be historic,قد يكون هذا تاريخيًا
164,تانسمعو عليه بزّاف دابا,we're hearing a lot about it right now,نحن نسمع الكثير عنه الآن
165,والاكين راه كاينين عرّام تلختيارات اللي تختار منّهوم.,But there are so many options to choose from.,ولكن هناك الكثير من الخيارات للاختيار من بينها.
166,خسّك تبدا بعدا تسووّل عليه,you have to start by asking about it,عليك أن تبدأ بالسؤال عنه
167,فسّر أُ عرّف لمايدان,Explain and define the field.,وضح وعرف المجال.
168,نتا لي خسّك تعرّفو.,it's up to you to define it.,أنت من يُحدّد ذلك.
169,واش تانهضرو علا السياسا لبريطانيا أُلا لفرانساويا?,Are we talking about British or French politics?,هل نتحدث عن السياسة البريطانية أم الفرنسية؟
170,التڭال ليا نكتب واهد لماقال علا السياسا والاكين ماعرفتش منين نبدا,I've been asked to write an essay on politics but I don't know where to start,طُلِبَ مني كتابة مقال عن السياسة ولكن لا أعرف من أين أبدأ
171,مومكين تشرح شنو اللي مافهمتيش?,Can you explain what you don't understand?,هل يمكنك شرح ما لا تفهمه؟
172,التڭال ليا أنّاهو مايمكنش نصوڭ,I've been told that I can't drive,لقد أُخبرت أنني لا أستطيع القيادة
173,غانخدمو مجموعين,We're going back to work together,سنعود للعمل معًا
174,"صافي, شي باس ماكاين","Well, that's okay",حسنًا، هذا جيد
175,وا تكرفصت بلمعقول باش نفهم أش خسّني ندير,I've really struggled to understand what it is I have to do,لقد واجهت صعوبة كبيرة في فهم ما يجب عليّ فعله
176,"سالام, سمح ليا عطّلت تامارين ديالي","Hi, I'm sorry my homework is late",مرحباً، أنا آسف لأن واجبي المنزلي متأخر
177,كمّل -خسّني نمشي دابا.,Carry on - I have to go now.,استمر - يجب أن أذهب الآن.
178,باقي لحال!,It's early!,إنه مبكر!
179,"أُه, تايبالّيا الضياف اللوولين جايّين","Oh, I think the first guests are coming",آه، أعتقد أن الضيوف الأوائل قادمون
180,أيه أمولاي.,"Yes, sir.",نعم، سيدي.
181,"كون هاني, والاكين تيقّن أنّاك عارف شنو كاين غدّا","Don't worry, but make sure you know what's what tomorrow",لا تقلق، ولكن تأكد أنك تعرف الأمور على حقيقتها غدًا
182,"أه, السموحات.","Yes, sorry.",نعم، آسف.
183,غايخسّك تعرف لكوزينا مزيان أُلّا غاتعطّلنا كاملين,You will have to get to know the kitchen better or you will slow us all down,سيتوجب عليك التعرف على المطبخ بشكل أفضل وإلا ستعيقنا جميعًا
184,كايبالّيا هادي هيا لمرّا اللوولا لي خدّمنا فيها هاد اللعيبا,I believe this is the first time we've used this thing,أعتقد أن هذه هي المرة الأولى التي نستخدم فيها هذا الشيء
185,أنا ماعارفش لبلاسا ديال ڭاع لماقادير حتّال دابا,I don't know the location of all the ingredients yet,لا أعرف موقع جميع المكونات بعد
186,"أح, سموحات","Oh, sorry",آسف
187,ماقدرتش نلقاه!,I can't find it!,لا أستطيع العثور عليه!
188,"واخا أمولاي, ماكاينش لموشكيل.","Yes, sir, no problem.",نعم سيدي، لا مشكلة.
189,صحابليك سالينا,you thought it was over,ظننت أنه قد انتهى
190,نقدر نقشّر بطاطا.,I can peel the potatoes.,أستطيع تقشير البطاطس.
191,كايجيب ليا الجوع!,It makes me hungry!,إنه يجعلني جائعًا!
192,ناضي,Excellent.,ممتاز.
193,غانمشي ل طانجا,I'll go to Tangier,سأذهب إلى طنجة
194,أش بالّيك فلاخور?,What about the other one?,ماذا عن الآخر؟
195,هادشي كايبان مزيان.,That should be good.,ذلك يجب أن يكون جيدًا.
196,عافاك ماتنساش تنقّي لبلاصا مورا ماتسالي,Please remember to clear away after you have finished,يرجى تذكر ترتيب المكان بعد الانتهاء
197,ماكاين باس,That's fine,ذلك جيد
198,"غانبدا بل بسباس, كاياخود لوقت","I'll start with the fennel, it takes longer",سأبدأ بالشمر، فهو يأخذ وقتًا أطول
199,الله إرحم ليك لواليدين,may God have mercy on your parents,رحم الله والديك
200,الله إخلّي ليك ماعزّ عليك,may God protect your loved ones,فليحمِ الله أحبائك
201,اللاه إعاونك,God help you,الله يعينك
202,"أه, ماكاين التا موشكيل.","Yeah, no problem.",نعم، لا مشكلة.
203,واخا تبدا تقطّع لخضرا عافاك,Could you start chopping the vegetables please,هل يمكنك البدء بتقطيع الخضروات من فضلك
204,أنا بيخير.,I'm fine.,أنا بخير.
205,هوما مختالفين فلقدّ أُ فلّون أُ فلماداق,"They're different sizes, colors and flavor",إنها مختلفة الأحجام والألوان والنكهات
206,جبت هاد ماطيشا اللي لقيت ف السوق هاد صباح,I came with these tomatoes that I found at the market this morning,جئت بهذه الطماطم التي وجدتها في السوق هذا الصباح
207,كيداير هاد الليلا?,How are you tonight?,كيف حالك الليلة؟
208,الله إسعد الصاباح أ شريف.,"Good morning, sir.",صباح الخير يا سيد.
209,يالاه النقزو أُنحتافلو ب الربح ديالنا,let's jump and celebrate our victory,لنقفز ونحتفل بانتصارنا
210,ألا بقينا عايشين إمكن نرجعو لدّار بكري,If we survive maybe we can get back home early,إذا نجونا ربما نستطيع العودة إلى البيت مبكرًا
211,صافي قنعتيني,"Okay, you convinced me",حسنًا، لقد أقنعتني
212,هزّ لقرعا فليدّ لوخرا,Grab the bottle in your other hand,خذ الزجاجة بيدك الأخرى
213,نسا عليك الدراري راه مشا عليهوم لحال,Forget about the children it is too late for them,انسَ الأطفال فقد فات الأوان بالنسبة لهم
214,لحاجا لواحيدا لي كانطلب منّك تديرها هيا تشدّ لقرعا ت الروج,The only thing I'm asking you to do is keep the bottle of red,الشيء الوحيد الذي أطلب منك فعله هو الاحتفاظ بزجاجة النبيذ الأحمر
215,"سير, الدي معاك جوج براهش, نقّز, أنا غانبقا هنا","Go, take two young children with you, jump, I stay here",اذهب، خذ معك طفلين صغيرين، اقفز، أنا أبقى هنا
216,هادشي تايخلع,It's terrifying,إنه مرعب
217,كانحسّ براسي بيّخير,I feel very good,أشعر بتحسن كبير
218,شناهوا?,What?,ماذا؟
219,واش كاتحسّ بيه?,Can you feel that?,هل تستطيع أن تشعر بذلك؟
220,عاد زيد أنا متءكّد كاينين ناس كايستاحقّو كتر منّي أنّاهوم مايموتوش,"Besides, I'm sure there are people who deserve more than me not to die",علاوة على ذلك، أنا متأكد أن هناك أشخاص يستحقون أكثر مني ألا يموتوا
221,بلّاتي نقلّب ل پاراشوت واش ڭادّ إهزّ جوج تنّاس,Let me check the parachute to see if it is capable to hold two people,دعني أتحقق من المظلة لأرى إذا كانت قادرة على حمل شخصين
222,"و صاراحاتان, واش كاتضنّ غايحلّو لبيبان ت طيّارا ويخلّيونا النقّزو?","And frankly, do you think they'll open the plane doors and let us jump?",وبصراحة، هل تعتقد أنهم سيفتحون أبواب الطائرة ويسمحون لنا بالقفز؟
223,دابا ماشي لوقت ديال بحال هاد ل أسإلا,Now isn't the time for such questions,الآن ليس الوقت المناسب لمثل هذه الأسئلة
224,غانّزلو ف پاكيستان,We're gonna land in Pakistan,سنهبط في باكستان
225,"والاكين, بلّاتي!","But, wait!",لكن، انتظر!
226,واش إمكن إهزّ جوج تنّاس?,Can it carry two people?,هل يمكنه حمل شخصين؟
227,واش متيقّن?,Are you sure?,هل أنت متأكد؟
228,والاكين مالك كاتمشّا أُ لابس ل پاراشوت?,But why are you walking around with a parachute on you?,ولكن لماذا تمشي حولك بمظلة؟
229,عنّقني مزيان أُ راه غانهبطو بيسالام مجموعين,Hug me close and we can land safely together,احضنني بقوة ويمكننا الهبوط بأمان معًا
230,كانت عندنا فورصا كون طحنا فلبحر,We did have a chance if we crashed into the ocean,كانت لدينا فرصة إذا تحطمنا في المحيط
231,أهيا أش هادشي,oh what is this,يا له من شيء هذا
232,"عرفتي شنو, من لبلاصا مناش طحنا, ماكاينش شي فرق كبير","You know, from where we fall, it doesn't make much difference",أنت تعلم، من حيث نقع، لا يُحدث فارقًا كبيرًا
233,"ماكاين التا بحر تحت منّا, هير پاكيستان","There is no ocean below us, only Pakistan",لا يوجد محيط تحتنا، فقط باكستان
234,غانهضرو علا لكسيدا ديالنا فل جاراإد,We'll talk about our crash in the newspapers,سنتحدث عن حادثنا في الصحف
235,ياك?,right?,صحيح؟
236,"والاكين عرفتي ماعنداش شي فورصا, ياك?","But you know we don't have a chance, right?",ولكن أنت تعلم أن ليس لدينا فرصة، أليس كذلك؟
237,ألا نجينا غادي ندير شيكايا ل شاريكا ت طاياران,If we survive I'm going to make a complaint to the airline,إذا نجونا سأقدم شكوى إلى شركة الطيران
238,ألا كنّا غانموتو,If we are going to die,إذا كنا سنموت
239,والاكين الشراب إمكن فيكرا مزيانا,But drinking is probably a good idea,لكن الشرب ربما يكون فكرة جيدة
240,"أنا بحال بزّاف تنّاس, ماكانأمن ب الله إلّا خمسا تدّقايق قبل النيهايا","I'm like most people, I don't believe in God except five minutes from the end",أنا مثل أغلب الناس، لا أؤمن بالله إلا قبل خمس دقائق من النهاية
241,واش نصلّيو مجموعين,Shall we pray together?,هل نصلي معًا؟
242,واش كاتأمن ب الله,Do you believe in god?,هل تؤمن بالله؟
243,"علّ أقالّ غاتكون بلخفّ, بلا صداع, سافي?","At least it'll probably be instant, no pain, right?",على الأقل سيكون على الأرجح فوريًا، بدون ألم، أليس كذلك؟
244,غانعاود نشعل تيليفوني عاوتاني,I'm gonna turn my phone back on,سأقوم بتشغيل هاتفي مجدداً
245,غانڭولّيهوم راه تانحبّهوم,I will tell them I love them,سأخبرهم أنني أحبهم
246,أُلّا تاتڭول داكشي هير باش تضحك عليا?,Or are you just saying that to make fun of me?,أم أنك تقول ذلك فقط لتسخر مني؟
