idx,English,Darija,MSA,Checkbox,Darija corrected,Observations
88,I agree with you,متّافق معاك,أنا أتفق معك,TRUE,,
89,if one of the team members has something to say,ألا كان شي واهد من لفرقا عندو شي حاجة مايڭول,إذا كان أحد أعضاء الفريق لديه شيء ليقوله,TRUE,,
90,you could suggest it at lunchtime,إمكن ليك تقتارحها ف وقيتّ لغدا,يمكنك أن تقترح ذلك في وقت الغداء,TRUE,,
91,this is an excellent way to improve work relationships,هادي طاريقا راإعا باش تحسّن لعالاقات تلخدما,هذه طريقة ممتازة لتحسين علاقات العمل,TRUE,,
92,"But she doesn't drink coffee, and she doesn't smoke, so she stays in her office.","والاكين هيا ماتاتشربش لقهوا, أُ ماتاتكميش, داكشي علاش كاتڭلس فل بيرو.",لكنها لا تشرب القهوة، ولا تدخن، لذا تبقى في مكتبها.,TRUE,,
93,It's a shame,حشوما,إنه أمر مؤسف,TRUE,,
94,"if we have a good reason to talk to her, she's always ready to talk.","ألا عندنا ساباب معقول باش نهضرو معاها, هيا راه ديما مستاعدّا تهضر.",إذا كان لدينا سبب وجيه للحديث معها، فهي دائمًا مستعدة للحديث.,TRUE,,
95,"Literally, his door is locked.","حرفيّان, لباب ديالو مسدود",حرفيًا، بابه مُقفَل.,TRUE,,
96,what do you think?,أش بالّيك?,ما رأيك؟,TRUE,,
97,one or two of you could discuss this situation with her,واحد أُلّا جوج منّكوم إقدر إناقش معاها هاد لمسألا,يمكن لواحد أو اثنين منكم أن يناقشا هذا الموقف معها,TRUE,,
98,she does not have enough confidence in the team,ماعندهاش تيقا كافيا فل فرقا,ليس لديها ثقة كافية بالفريق,TRUE,,
99,"All right, I'll try to discuss it discreetly","صافي, دابا نحاول الناقشها بلا مانعيّق",حسنًا، سأحاول مناقشته بسرية,TRUE,,
100,Do you think I should take a vacation?,تايبان ليك خسّ نشدّ عوطلا?,هل تعتقد أنني يجب أن آخذ إجازة؟,TRUE,,
101,May I suggest you speak to your colleagues,مومكين نقتارح عليك تهضر معا الناس اللي خدّامين معاك,هل يمكنني أن أقترح عليك التحدث إلى زملائك,TRUE,,
102,What do I do?,أش غاندير?,ماذا أفعل؟,TRUE,,
103,This is very common and nothing to worry about.,هادشي عادي و التا حاجة ماكاتقلّق,هذا أمر شائع جدًا ولا يوجد ما يدعو للقلق.,TRUE,,
104,the pressure has indeed affected your general emotional state,الضاغط بلفيعل ءتّر علا لحالا لعاطيفيا لعامّا ديالك,لقد أثر الضغط بالفعل على حالتك العاطفية العامة,TRUE,,
105,"ok, I get it.","صافي, فهمتك.",حسنًا، أفهم ذلك.,TRUE,,
106,"Yeah, probably.","أه, غاليبان",نعم، على الأرجح.,TRUE,,
107,Yes but the translation was wrong,أه والاكين الترجاما كانت غالطا,نعم ولكن الترجمة كانت خاطئة,TRUE,,
108,Do you feel she herself is under pressure from her director?,واش كايبالّيك أنّاها هيا تحت الضاغط من لمودير ديالها?,هل تشعر أنها هي نفسها تحت ضغط من مديرها؟,TRUE,,
109,I admire him very much.,كايعجبني بزّاف.,أنا أعجب به كثيرًا.,TRUE,,
110,Maybe she is constantly worried about not meeting her targets.,إمكن هيا ديما خايفا ماتحقّقش ل أهداف ديالها.,ربما هي قلقة باستمرار من عدم تحقيق أهدافها.,TRUE,,
111,Do you have colleagues who feel stressed like you?,واش الناس اللي خدّامين معاك تايحسّو بتّاوتّور بحالك?,هل لديك زملاء يشعرون بالتوتر مثلك؟,TRUE,,
112,Is your boss a lady or a man?,شف ديالك مرا أُلّا راجل?,هل مديرك امرأة أم رجل؟,TRUE,,
113,I think we're all stressed and at the same time all admire her.,تايبالّيا حنا كولّنا مسترسّيين و فنفس لوقت كولّنا تاتعجبنا.,أعتقد أننا جميعًا متوترون وفي الوقت نفسه جميعًا نُعجب بها.,TRUE,,
114,"A lady, I think.","مرا, تايبالّيا",سيدة، أعتقد.,TRUE,,
115,"I told you, it's a woman.","ڭلتها ليك, راه مرا.",قلت لك، إنها امرأة.,TRUE,,
116,Very beautiful,زوينا بزّاف,جميلة جدًا,TRUE,,
117,But his reviews are always justified.,والاكين لمولاحاضات ديالو ديما مبرّرين.,لكن مراجعاته دائمًا ما تكون مبررة.,TRUE,,
118,when I'm running a little late or I don't do whatever she wants,فاش تانكون معطّل شويا أُلّا ماتانديرش شي حاجة بغاتها,عندما أتأخر قليلاً أو لا أفعل ما تريده,TRUE,,
119,I hit my targets.,حقّقت ل أهداف ديالي.,لقد أصبت أهدافي.,TRUE,,
120,"I work a lot, which allows me to do my job properly.","تانخدم بزّاف, داكشي اللي تايخلّيني ندير خدمتي مزيان.",أعمل كثيرًا، مما يتيح لي أداء عملي بشكل صحيح.,TRUE,,
121,"Tell me, are you able to do your work with confidence?","ڭولّيا, واش نتا قادّ تدير خدمتك بكولّ تيقا?",قل لي، هل أنت قادر على أداء عملك بثقة؟,TRUE,,
122,do you feel unable to reach the expected targets?,واش كاتحسّ براسك ماقادّش توسّل ل أهداف اللي عوّلتي عليها?,هل تشعر بعدم القدرة على الوصول إلى الأهداف المتوقعة؟,TRUE,,
123,I'm talking about the manager of my department,تانهضر علا لمودير ديال لمصلاحا ديالي,أنا أتحدث عن مدير قسمي,TRUE,,
124,"Yes, it is.","أه, كاينا.",نعم، هو كذلك.,TRUE,,
125,She doesn't tolerate mediocrity.,ماكاتّسامحش معا لبسالا,هي لا تتحمل الرتابة.,TRUE,,
126,"Yes, sir.",أيه أمولاي,نعم، سيدي.,TRUE,,
127,Are there any women around you that you find difficult to deal with?,واش كاينين شي عيالات دايرين بيك اللي صعيب عليك التعامل معاهوم?,هل يوجد نساء حولك تجدهن صعبات المعاملة؟,TRUE,,
128,in your work or elsewhere,فلخدما ديالك أُلّا علا برّا,في عملك أو في مكان آخر,TRUE,,
129,"Yes, I understand.","أه, فهمتك.",نعم، أنا أفهم.,TRUE,,
130,"No, nothing special, I think.","اللا, التا حاجة ماغريبا, فناضاري.",لا، لا شيء مميز، أعتقد.,TRUE,,
131,Have you had any unusual or unpleasant experiences recently?,واش دوّزتي شي تاجاريب ماعاديّاش أُلّا فشكل موءخاران?,هل مررت بأية تجارب غير عادية أو مزعجة مؤخرًا؟,TRUE,,
132,things that you feel may have been caused by something you did,شي حوايج اللي كاتحسّ إقدر إكونو بسباب شي حاجة درتيها,أشياء تشعر أنها ربما تكون نتجت عن شيء قمت به,TRUE,,
133,Of course not.,طابعان اللا.,بالطبع لا.,TRUE,,
134,You think I'm going crazy?,كايبالّيك أنا كانحماق?,أتظن أنني أجن؟,TRUE,,
135,"No, no one I recognize.","اللا, التا واهد ماكانعارفو.",لا، لا أعرف أحداً.,TRUE,,
136,"Your sister, your mother, a friend?","ختك, لواليدا ديالك, شي صاديق?",أختك، أمك، صديقة؟,TRUE,,
137,Can you recognize anybody you know?,تقدر تجبد شي واهد كاتعارفو?,هل تستطيع التعرف على أي شخص تعرفه؟,TRUE,,
138,Is it always the same voice?,ديما نفس الصوت?,هل هي دائمًا نفس الصوت؟,TRUE,,
139,"Often, it's to criticize me.","غاليبان, باش إنتاقدوني",غالبًا، الأمر لانتقادي.,TRUE,,
140,A female voice who sometimes comment on what I'm doing.,صوت ديال لعيالات هوا لي مرّا مرّا كايعلّق علا داكشي اللي كاندير.,صوت أنثوي يعلق أحيانًا على ما أقوم به.,TRUE,,
141,"For a few months, sometimes I feel like I hear a voice talking in my head.","شي شهورا هادو, بعد لمرّات كانحسّ بحال ألا كانسمع شي صوت كايهدر فوست راسي",لبضعة أشهر، أحيانًا أشعر وكأنني أسمع صوتًا يتحدث في رأسي.,TRUE,,
142,I'm here to see you because I don't understand what's happening to me,أنا هنا باش نشوفك حيت ماكانفهمش أش كايوقع ليا,أنا هنا لأراك لأنني لا أفهم ما يحدث لي,TRUE,,
143,How may I assist you?,كيفاش نقدر نعاونك?,كيف يمكنني مساعدتك؟,TRUE,,
144,I believe this is the first time we have met.,كانضنّ هادي أوّال مرّا كانتلاقاو.,أعتقد أن هذه هي المرة الأولى التي نلتقي فيها.,TRUE,,
145,Good-bye,بسلاما,وداعاً,TRUE,,
146,Feel free to come back if you still have questions.,عاود دوز ألا باقي عندك شي أسإلا.,لا تتردد في العودة إذا كان لديك أسئلة أخرى.,TRUE,,
147,You're welcome.,مرحبا.,على الرحب والسعة.,TRUE,,
148,I'll send it over to you as soon as it's finished.,دابا نصيفتها ليك أُقتمّا كملات.,سأرسله إليك فور انتهائه.,FALSE,دابا نصيفتها ليك معا تكمل.,
149,Good luck.,لايسّر.,بالتوفيق.,TRUE,,
150,Perfect.,ناضي.,مثالي.,TRUE,,
151,I promise.,كانواعدك.,أعدك.,TRUE,,
152,But you must respect that new deadline,والاكين خسّك تحتارم هاد لوقت الجديد,ولكن يجب عليك احترام ذلك الموعد النهائي الجديد,TRUE,,
153,"Would it be possible for you to give me an extension to the deadline, say another two weeks?","واش مومكين ليك تزيدني شويا تلوقت, ڭول شي جوج سيمانات هاكّاك?",هل يمكنك منحي تمديدًا للموعد النهائي، لنقل أسبوعين آخرين؟,TRUE,,
154,2000 words,2000 كلما,ألفا كلمة,TRUE,,
155,How many words is a short paragraph?,شحال من كلما فشي فقرا صغيرا?,كم عدد الكلمات في فقرة قصيرة؟,TRUE,,
156,"This is really helping me think through what I need to write, thank you.","هادشي الصاراحا كايعاونّي نفكّر ف أش خسّني نكتب, لايحفدك",هذا يساعدني حقًا على التفكير فيما أحتاج إلى كتابته، شكرًا لك.,TRUE,,
157,What happened back then?,أش وقع فداك لوقت?,ماذا حدث في ذلك الوقت؟,TRUE,,
158,Do I present the essay as factual or do I take a political view point?,واش نقدّم لماقال علا أنّاهو واقيعي أُلّا ناخود ويجهات ناضار سيياسيا?,هل أقدم المقال بشكل واقعي أم أتخذ وجهة نظر سياسية؟,TRUE,,
159,That could be interesting.,هادشي تايبان موهيمّ.,ذلك قد يكون مثيرًا للاهتمام.,TRUE,,
160,I've just checked that date on Google,يالّاه شفت التاريخ ف ڭوڭل,لقد تحققت للتو من ذلك التاريخ على جوجل,TRUE,,
161,"Ah, ok.","أه, واخا.",آه، حسنًا.,TRUE,,
162,So the first thing you do is choose.,إدان أوّال حاجة الديرها هيا تختار,فالشيء الأول الذي تفعله هو الاختيار.,TRUE,,
163,This one may be historic,هادي تقدر تكون تاريخيا,قد يكون هذا تاريخيًا,TRUE,,
164,we're hearing a lot about it right now,تانسمعو عليه بزّاف دابا,نحن نسمع الكثير عنه الآن,TRUE,,
165,But there are so many options to choose from.,والاكين راه كاينين عرّام تلختيارات اللي تختار منّهوم.,ولكن هناك الكثير من الخيارات للاختيار من بينها.,TRUE,,
166,you have to start by asking about it,خسّك تبدا بعدا تسووّل عليه,عليك أن تبدأ بالسؤال عنه,TRUE,,
167,Explain and define the field.,فسّر أُ عرّف لمايدان,وضح وعرف المجال.,TRUE,,
168,it's up to you to define it.,نتا لي خسّك تعرّفو.,أنت من يُحدّد ذلك.,TRUE,,
169,Are we talking about British or French politics?,واش تانهضرو علا السياسا لبريطانيا أُلا لفرانساويا?,هل نتحدث عن السياسة البريطانية أم الفرنسية؟,TRUE,,
170,I've been asked to write an essay on politics but I don't know where to start,التڭال ليا نكتب واهد لماقال علا السياسا والاكين ماعرفتش منين نبدا,طُلِبَ مني كتابة مقال عن السياسة ولكن لا أعرف من أين أبدأ,TRUE,,
171,Can you explain what you don't understand?,مومكين تشرح شنو اللي مافهمتيش?,هل يمكنك شرح ما لا تفهمه؟,TRUE,,
172,I've been told that I can't drive,التڭال ليا أنّاهو مايمكنش نصوڭ,لقد أُخبرت أنني لا أستطيع القيادة,TRUE,,
173,We're going back to work together,غانخدمو مجموعين,سنعود للعمل معًا,TRUE,,
174,"Well, that's okay","صافي, شي باس ماكاين",حسنًا، هذا جيد,TRUE,,
175,I've really struggled to understand what it is I have to do,وا تكرفصت بلمعقول باش نفهم أش خسّني ندير,لقد واجهت صعوبة كبيرة في فهم ما يجب عليّ فعله,TRUE,,
176,"Hi, I'm sorry my homework is late","سالام, سمح ليا عطّلت تامارين ديالي",مرحباً، أنا آسف لأن واجبي المنزلي متأخر,TRUE,,
177,Carry on - I have to go now.,كمّل -خسّني نمشي دابا.,استمر - يجب أن أذهب الآن.,TRUE,,
178,It's early!,باقي لحال!,إنه مبكر!,TRUE,,
179,"Oh, I think the first guests are coming","أُه, تايبالّيا الضياف اللوولين جايّين",آه، أعتقد أن الضيوف الأوائل قادمون,TRUE,,
180,"Yes, sir.",أيه أمولاي.,نعم، سيدي.,TRUE,,
181,"Don't worry, but make sure you know what's what tomorrow","كون هاني, والاكين تيقّن أنّاك عارف شنو كاين غدّا",لا تقلق، ولكن تأكد أنك تعرف الأمور على حقيقتها غدًا,TRUE,,
182,"Yes, sorry.","أه, السموحات.",نعم، آسف.,TRUE,,
183,You will have to get to know the kitchen better or you will slow us all down,غايخسّك تعرف لكوزينا مزيان أُلّا غاتعطّلنا كاملين,سيتوجب عليك التعرف على المطبخ بشكل أفضل وإلا ستعيقنا جميعًا,TRUE,,
184,I believe this is the first time we've used this thing,كايبالّيا هادي هيا لمرّا اللوولا لي خدّمنا فيها هاد اللعيبا,أعتقد أن هذه هي المرة الأولى التي نستخدم فيها هذا الشيء,TRUE,,
185,I don't know the location of all the ingredients yet,أنا ماعارفش لبلاسا ديال ڭاع لماقادير حتّال دابا,لا أعرف موقع جميع المكونات بعد,TRUE,,
186,"Oh, sorry","أح, سموحات",آسف,TRUE,,
187,I can't find it!,ماقدرتش نلقاه!,لا أستطيع العثور عليه!,TRUE,,
188,"Yes, sir, no problem.","واخا أمولاي, ماكاينش لموشكيل.",نعم سيدي، لا مشكلة.,TRUE,,
189,you thought it was over,صحابليك سالينا,ظننت أنه قد انتهى,TRUE,,
190,I can peel the potatoes.,نقدر نقشّر بطاطا.,أستطيع تقشير البطاطس.,TRUE,,
191,It makes me hungry!,كايجيب ليا الجوع!,إنه يجعلني جائعًا!,TRUE,,
192,Excellent.,راإع.,ممتاز.,TRUE,ناضي,
193,I'll go to Tangier,غانمشي ل طانجا,سأذهب إلى طنجة,TRUE,,
194,What about the other one?,أش بالّيك فلاخور?,ماذا عن الآخر؟,TRUE,,
195,That should be good.,هادشي كايبان مزيان.,ذلك يجب أن يكون جيدًا.,TRUE,,
196,Please remember to clear away after you have finished,عافاك ماتنساش تنقّي لبلاصا مورا ماتسالي,يرجى تذكر ترتيب المكان بعد الانتهاء,TRUE,,
197,That's fine,ماكاين باس,ذلك جيد,TRUE,,
198,"I'll start with the fennel, it takes longer","غانبدا بل بسباس, كاياخود لوقت",سأبدأ بالشمر، فهو يأخذ وقتًا أطول,TRUE,,
199,may God have mercy on your parents,الله إرحم ليك لواليدين,رحم الله والديك,TRUE,,
200,may God protect your loved ones,الله إخلّي ليك ماعزّ عليك,فليحمِ الله أحبائك,TRUE,,
201,God help you,اللاه إعاونك,الله يعينك,TRUE,,
202,"Yeah, no problem.","أه, ماكاين التا موشكيل.",نعم، لا مشكلة.,TRUE,,
203,Could you start chopping the vegetables please,واخا تبدا تقطّع لخضرا عافاك,هل يمكنك البدء بتقطيع الخضروات من فضلك,TRUE,,
204,I'm fine.,أنا بيخير.,أنا بخير.,TRUE,,
205,"They're different sizes, colors and flavor",هوما مختالفين فلقدّ أُ فلّون أُ فلماداق,إنها مختلفة الأحجام والألوان والنكهات,TRUE,,
206,I came with these tomatoes that I found at the market this morning,جبت هاد ماطيشا اللي لقيت ف السوق هاد صباح,جئت بهذه الطماطم التي وجدتها في السوق هذا الصباح,TRUE,,
207,How are you tonight?,كيداير هاد الليلا?,كيف حالك الليلة؟,TRUE,,
208,"Good morning, sir.",الله إسعد الصاباح أ شريف.,صباح الخير يا سيد.,TRUE,,
209,let's jump and celebrate our victory,يالاه النقزو أُنحتافلو ب الربح ديالنا,لنقفز ونحتفل بانتصارنا,TRUE,,
210,If we survive maybe we can get back home early,ألا بقينا عايشين إمكن نرجعو لدّار بكري,إذا نجونا ربما نستطيع العودة إلى البيت مبكرًا,TRUE,,
211,"Okay, you convinced me",صافي قنعتيني,حسنًا، لقد أقنعتني,TRUE,,
212,Grab the bottle in your other hand,هزّ لقرعا فليدّ لوخرا,خذ الزجاجة بيدك الأخرى,TRUE,,
213,Forget about the children it is too late for them,نسا عليك الدراري راه مشا عليهوم لحال,انسَ الأطفال فقد فات الأوان بالنسبة لهم,TRUE,,
214,The only thing I'm asking you to do is keep the bottle of red,لحاجا لواحيدا لي كانطلب منّك تديرها هيا تشدّ لقرعا ت الروج,الشيء الوحيد الذي أطلب منك فعله هو الاحتفاظ بزجاجة النبيذ الأحمر,TRUE,,
215,"Go, take two young children with you, jump, I stay here","سير, الدي معاك جوج براهش, نقّز, أنا غانبقا هنا",اذهب، خذ معك طفلين صغيرين، اقفز، أنا أبقى هنا,TRUE,,
216,It's terrifying,هادشي تايخلع,إنه مرعب,TRUE,,
217,I feel very good,كانحسّ براسي بيّخير,أشعر بتحسن كبير,TRUE,,
218,What?,شناهوا?,ماذا؟,TRUE,,
219,Can you feel that?,واش كاتحسّ بيه?,هل تستطيع أن تشعر بذلك؟,TRUE,,
