Darija,English,MSA
كيطييوا وجبة هانجي في حفرة سخونة في الأرض.,A Hangi Meal is cooked in a hot pit in the ground.,يتم طهي وجبة هانجي في حفرة ساخنة في الأرض.
كان يقدر ترايسيراتوبس يستخدم المنقار دياله القوي باش يحيد الأوراق قبل ما ياكل الجذع.,A Triceratops could have used its strong beak to strip off the leaves before eating the trunk.,يمكن لـ (تريسيراتوبس) أن يستخدم منقاره القوي لتجريد الأوراق قبل أن يأكل الجذع
المعرض العالمي (المعروف بسمية المعرض العالمي، أو ببساطة المعرض) هو مهرجان دولي كبير ديال الفنون والعلوم.,"A World's Fair (commonly called World Exposition, or simply Expo) is large international festival of arts and sciences.",المعرض العالمي (الذي يطلق عليه عادة المعرض العالمي أو ببساطة إكسبو) هو مهرجان دولي كبير للفنون والعلوم.
سلاح الفرسان هو جيش كيقاتل وهو راكب على الخيل. حيث كانوا مازال ما اخترعوا السرج، على ذاكشي الفرسان الآشوريون حاربوا وهما راكبين الخيل ديالهم وهو مافيهش الركاب.,"A cavalry is an army that fights on horseback. The saddle had not yet been invented, so the Assyrian cavalry fought on the bare backs of their horses.",كان الفرسان جيشًا يقاتل على ظهر الخيل ، ولم يكن السرج قد اخترع بعد ، لذلك حارب الفرسان الآشوريون على ظهور خيولهم العارية.
الخلية هي أصغر وحدة هيكلية ووظيفية كاينة في الكائن الحي (الأشياء).,A cell is the smallest structural and functional unit of a living (things) organism.,الخلية هي أصغر وحدة هيكلية ووظيفية للكائن الحي (الأشياء).
دارو تغيير في هاذ الجلسة التشريعية منين حيدو الجملة الثانية ف الأول ف مجلس النواب ومن بعد صوت عليها مجلس الشيوخ بنفس الشكل نهار الاثنين.,A change was made this legislative session when the second sentence was deleted first by the House of Representatives and then was passed in a similar form by the Senate Monday.,تم إجراء تغيير في هذه الدورة التشريعية عندما تم حذف الجملة الثانية أولاً من قبل مجلس النواب ثم تم تمريره في شكل مماثل من قبل مجلس الشيوخ يوم الاثنين.
المرض المعدي هو المرض الي كينتقل بسهولة عن طريق التواجد بالقرب من شي واحد مصاب.,A contagious disease is a disease which is easily transmitted by being in the vicinity of an infected person.,المرض المعدي هو مرض ينتقل بسهولة عن طريق البقاء بالقرب من شخص مصاب.
كيعيش هنا ألفين ديال الموظفين ف الصيف في شي أربعين قاعدة تقريبا أغلبها في ذيك المناطق؛ وكيبقى عدد قليل منهم ف فصل الشتاء.,A couple of thousand staff live here in summer in some four dozen bases mostly in those areas; a small number stay over winter.,يعيش بضعة آلاف من الموظفين هنا في الصيف في حوالي أربعة عشر قاعدة في الغالب في تلك المناطق ، ويبقى عدد قليل خلال فصل الشتاء.
"هاذي شحال من سيمانة، ومن بعد المعلومات اللي نشرها الصحفي ماكيس تريانتافيلوبولوس في البرنامج التلفزيوني دياله المشهور ""زونجلا"" في قناة ألفا تي في، نحاو عضو البرلمان والمحامي بيتروس مانتوفالوس على ود بعض الأعضاء من المكتب دياله تورطوا في جرائم الكسب غير المشروع والفساد.","A few weeks ago, after the information published by the journalist Makis Triantafylopoulos in his popular Television show ""Zoungla"" in Alpha TV, the member of Parliament and lawyer, Petros Mantouvalos was abdicated as members of his office had been involved in illegal graft and corruption.","قبل بضعة أسابيع ، بعد المعلومات التي نشرها الصحفي ماكيس تريانتافيلوبولوس في برنامجه التلفزيوني الشهير ""زونغلا"" على قناة ألفا ، تم التنازل عن عضو البرلمان والمحامي بيتروس مانتوفالوس ، حيث كان أعضاء مكتبه متورطين في الغش والفساد غير القانوني."
وقال المسؤولين باللي راهم حددوا شي موعد رسمي باش يحتفلوا بالذكرى السنوية من بعد.,"A formal anniversary event was scheduled for a later date, officials said.",قال المسؤولون إن حدث الذكرى الرسمي كان من المقرر عقده في وقت لاحق.
"قال واحد الطالب السابق بالي راه كان كيهضر بالدارجة في القسم، وعلمهم كيفاش يديرو الرنديفويات في الملاحظات، وكان مصاحب مع الطلبة"".","A former student said that he 'used slang in class, taught dating skills in notes, and was just like the students' friend.'",قال طالب سابق إنه 'استخدم اللغة العامية في الصف، وعلم مهارات المواعدة في الملاحظات، وكان مثل صديق الطلاب'.
شبكة تبادل الضيافة هي المنظمة اللي غادي تربط المسافرين بالسكان المحليين في المدن التي غادي يزوروها.,A hospitality exchange network is the organization that connects travelers with locals in the cities they are going to visit.,شبكة تبادل الضيافة هي المنظمة التي تربط المسافرين مع السكان المحليين في المدن التي سيزورونها.
طاح واحد الأوطيل صغير ف مكة المكرمة، المدينة المقدسة ديال الإسلام تقريبا ف 10 ديال الصباح هاذ النهار بالتوقيت المحلي.,"A hostel collapsed in Mecca, the holy city of Islam at about 10 o'clock this morning local time.",انهار نزل في مكة، المدينة المقدسة للإسلام، حوالي الساعة العاشرة صباح اليوم بالتوقيت المحلي.
ومن بعد كتقدم لائحة ديال المضيفين المتاحين إما مطبوعة و / أو ف الأنترنت، وفبعض المرات مع المراجع والتعليقات ديال المسافرين الآخرين.,"A listing of available hosts is then provided either in print and/or online, sometimes with references and reviews by other travelers.",ثم يتم توفير قائمة بالمضيفين المتاحين إما في شكل مطبوع أو عبر الإنترنت ، وأحيانًا مع المراجع والمراجعات من قبل المسافرين الآخرين.
الشخص الذي يزن 200 رطل (90 كجم) على الأرض يزن حوالي 36 رطلاً (16 كجم) على Io. لذا فإن الجاذبية بالطبع لا تشدك كثيرًا.,"A person who weighs 200 pounds (90kg) on Earth would weigh about 36 pounds (16kg) on Io. So the gravity, of course, pulls less on you.",الشخص الذي يزن 200 رطل (90 كيلوغرام) على الأرض سيزن حوالي 36 رطل (16 كيلوغرام) على يو ، لذلك الجاذبية ، بالطبع ، تسحب أقل عليك.
الساكنة هي واحد المجموعة ديال الكائنات الحية من نوع معين داخل منطقة جغرافية معينة.,A population is the collection of organisms of a particular species within a given geographic area.,السكان هي مجموعة من الكائنات الحية من نوع معين داخل منطقة جغرافية معينة.
واحد العطل كهربائي من بعد اختبار روتيني لنظام الحرائق خلا صمامات التصريف تتحل وتدفق النفط الخام بالقرب من محطة ضخ فورت غريلي رقم 9.,A power failure following a routine fire-command system test caused relief valves to open and crude oil overflowed near the Fort Greely pump station 9.,أدى انقطاع التيار الكهربائي بعد اختبار روتيني لنظام قيادة الحرائق إلى فتح صمامات الإغاثة وتفريغ النفط الخام بالقرب من محطة ضخ فورت جريلي رقم 9.
الإعصار هو عمود دوار من هواء منخفض الضغط للغاية كيمتص الهواء المحيط للداخل ولفوق.,"A tornado is a spinning column of very low-pressure air, which sucks the surrounding air inward and upward.",الإعصار هو عمود دوار من الهواء منخفض الضغط للغاية ، والذي يمتص الهواء المحيط به إلى الداخل وإلى الأعلى.
يقدر يفكر المسافر اللي عنده بزاف ديال الفلوس أنه يدير رحلة حول العالم، مع إقامات متقطعة في بزاف من هاذ الاوتيلات.,"A traveller with piles of money might consider a round the world flight, broken up with stays in many of these hotels.",قد يفكر المسافر الذي لديه أكوام من المال في رحلة حول العالم ، مع إقامة في العديد من هذه الفنادق.
كانت أسنان التريسيراتوبس قادرة باش تسحق ماشي غير الأوراق ولكن حتى الفروع والجذور اللي قاصحة بزاف.,A triceratops' teeth would have been able to crush not only leaves but even very tough branches and roots.,كانت أسنان التريسيراتوبس قادرة على سحق ليس فقط الأوراق ولكن حتى الفروع والجذور القاسية للغاية.
تقدر تجمع ما بين زيارة الموقع بطريقة مزيانة وتدير رحلة بالمركب للبحيرة.,A visit to the site can be conveniently combined with a boat trip to the lake.,يمكن الجمع بين زيارة الموقع ورحلة بالقارب إلى البحيرة.
كيأثر اضطراب نقص الانتباه على العلاقات مع الصحاب الي فنفس العمر لحقاش الأطفال الآخرين مكيقدروش يقهموا سبب التصرفات ديالهم أو علاش كيهضروا بذاك الطريقة أو أن المستوى ديال النضج ديالهم مختلف.,ADD affects relationships with other peers because other children can not understand why they act the way that they do or why they spell they way they do or that their maturity level is different.,يؤثر اضطراب الانتباه على العلاقات مع أقرانه لأن الأطفال الآخرين لا يستطيعون فهم لماذا يتصرفون بالطريقة التي يفعلونها أو لماذا يتهجئون بالطريقة التي يفعلونها أو أن مستوى نضجهم مختلف.
قال مفوض التجارة والصناعة في الاتحاد الأفريقي ألبرت موشانجا أن بنين غادي تنضم.,AU trade and industry commissioner Albert Muchanga announced Benin was to join.,أعلن مفوض التجارة والصناعة في الاتحاد الأفريقي ألبرت موشانجا أن بنين ستشارك.
تقريبا شي عشرة ديال الدقائق قبل ما يوصل للأرض من المرة الثانية اللي قرب فيها ما بقاش يبان.,About ten minutes before it was due to land from its second approach it disapeared.,قبل حوالي عشر دقائق من موعد الهبوط من مقاربتها الثانية اختفت.
من بعد تقريبا ثلاثة آلاف عام، في عام 1610، استخدم عالم الفلك الإيطالي جاليليو جاليلي تلسكوب باش يشوف واش كوكب الزهرة عنده أطوار بحال القمر.,"About three thousand years later, in 1610, Italian astronomer Galileo Galilei used a telescope to observe that Venus has phases, just as the moon does.",بعد حوالي ثلاثة آلاف عام ، في عام 1610 ، استخدم عالم الفلك الإيطالي غاليليو غاليلئي تلسكوبًا لملاحظة أن الزهرة لديها مراحل ، تمامًا كما يفعل القمر.
غالبًا ما كيكون الوصول لهاذ الخدمات من واحد رقم هاتف مجاني كيمكن الاتصال به من معظم الهواتف بلا فلوس.,Access to these services is often through a toll-free telephone number that can be called from most phones without charge.,غالبًا ما يتم الوصول إلى هذه الخدمات من خلال رقم هاتف مجاني يمكن الاتصال به من معظم الهواتف دون تكلفة.
كانوا معاه ذاك المسؤولين، وقال للمواطنين ديال تكساس أنه غادي ياخذ الخطوات اللازمة باش يحمي السلامة ديال الجمهور.,"Accompanied by those officials, he assured Texas citizens that steps were being taken to protect the public's safety.",مصحوبًا بتلك المسؤولين ، أكد على مواطني تكساس أن الخطوات اتخذت لحماية سلامة الجمهور.
"وعلى حسب ما قالته وكالة ""أنسا""، ""البوليس خاف من عمليات اغتيال على مستويات رفيعة، على ود هاذشي ممكن ينوض حرب على الخلافة.","According to Ansa, ""police were concerned by a couple of top-level hits they feared might spark a full-blown war of succession.","""وأضاف أن """"الشرطة كانت قلقة بشأن اثنين من الضربات الرفيعة المستوى التي خافوا أنها قد تثير حربًا كاملة على الخلافة."""""""
على حسب التقارير، واحد البرطمة في شارع ماكبث تفركعات بسباب تسرب الغاز.,"According to reports, an apartment on Macbeth Street exploded due to a gas leak.",وفقًا للتقارير، انفجرت شقة في شارع (ماكبيث) بسبب تسرب الغاز.
وعلى حسب ما قالوا في القصة، أن الدافع دياله كان باش يوصل للشّهرة بأيّ ثمن. وقالوا سكان أفسس اللي طالعلهم الدم بأنهم مباغيينش يسجلوا اسم هيروستراتس كاع.,"According to the story, his motivation was fame at any cost. The Ephesians, outraged, announced that Herostratus' name never be recorded.",وفقًا للقصة ، كان دوافعه هو الشهرة بأي ثمن ، وأعلن الأفسيون ، غاضبين ، أن اسم هيروستراتوس لن يتم تسجيله أبدًا.
وعلى حسب هاذشي، كيمكن الواحد يلقى أفخم أنواع الفراش في أفضل هاد المؤسسات، وممكن لحاف مصنوع يدويًا أو شي ناموسية عتيقة.,"Accordingly, at the finest such establishments one is apt to find the most luxurious bedding, maybe a handmade quilt or an antique bed.",وبناءً على ذلك ، في أفضل هذه المؤسسات ، يمكن للمرء أن يجد أغطية السرير الأكثر فخامة ، ربما سريرًا مصنوعًا يدويًا أو سريرًا قديمًا.
من بعد شحال من مائة ساعة ديال الخدمة، غادي تتحرق الفتيلة اللي كاينة في اللمبة في التالي ومغاديش تبقى اللمبة خدامة.,After hundreds of hours of operation the filament in the bulb eventually burns out and the light bulb no longer works.,بعد مئات ساعات من التشغيل ، يشتعل الخيوط في المصباح في نهاية المطاف ولا يعمل المصباح بعد الآن.
من بعد النكسات العسكرية الاولى، قدر إثيلريد يتفق مع أولاف، اللي رجع للنرويج ياش يحاول يربح المملكة دياله بواحد نجاح مخلط.,"After initial military setbacks, Ethelred was able to agree to terms with Olaf, who returned to Norway to try to gain his kingdom with mixed success.",بعد الانتكاسات العسكرية الأولية ، تمكن Ethelred من الموافقة على شروط مع Olaf ، الذي عاد إلى النرويج لمحاولة الحصول على مملكته بنجاح مختلط.
"من بعد ما كان باين أن بزاف ديال العائلات كانت باغية تأخذ مساعدة قانونية باش تكافح عمليات الإخلاء، داروا اجتماع في 20 مارس في ""مركز إيست باي القانوني المجتمعي"" لضحايا عملية احتيال الإسكان.","After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.",بعد أن أصبح من الواضح أن العديد من العائلات كانت تبحث عن مساعدة قانونية لمحاربة عمليات الإخلاء ، تم عقد اجتماع في 20 مارس في مركز القانون المجتمعي في إيست باي لضحايا احتيال الإسكان.
من بعد الحريق، حافظوا على القلعة وحماوها، وولات من أكثر المناطق الي كتجذب الناس في بوتان.,"After the fire, the fortress was preserved and protected, remaining to be one of Bhutan's most sensational attractions.",بعد الحريق ، تم الحفاظ على القلعة وحمايتها ، وبقيت واحدة من أكثر مناطق الجذب إثارة في بوتان.
"من بعد الماتش، الملك ديال كلاي قال؛ ""أنا فرحان حيث قدرت نرجع في الجولات الأخيرين ديال كاع الأحداث المهمين، أنا هنا باش نحاول نربح هاذشي.""","After the match, King of Clay said, ""I am just excited about being back in the final rounds of the most important events. I am here to try to win this.""","""بعد المباراة ، قال كينغ أوف كلاي: """"أنا متحمس فقط لعودتي إلى الجولات النهائية لأهم الأحداث ، أنا هنا لمحاولة الفوز بهذا."""""""
من بعد ما كتتعود على التنسيق والتحرير على الانترنت، يمكنك من بعد تدير موقع الويب ديالك.,"After you become comfortable with formatting and editing on the web, then later, you might create your own website.",بعد أن تصبح مرتاحا مع التنسيق والتحرير على الويب، ثم في وقت لاحق، قد تخلق موقع الويب الخاص بك.
شركات الطيران بحال طيران الإمارات، والاتحاد للطيران، والخطوط الجوية القطرية، والخطوط الجوية التركية وسعات بشكل كبير من خدماتها لإفريقيا، وكتوفر روابط لبزاف ديال المدن الأفريقية الكبرى بأسعار تنافسية مقارنة بشركات الطيران الأوروبية الأخرى.,"Airlines such as Emirates, Etihad Airways, Qatar Airways & Turkish Airlines have greatly expanded their services to Africa, and offer connections to many major African cities at competitive rates than other European airlines.",وقد وسعت شركات الطيران مثل طيران الإمارات، وطيران الاتحاد، وطيران قطر، وطيران تركيا خدماتها إلى أفريقيا بشكل كبير، وتقدم اتصالات إلى العديد من المدن الأفريقية الكبرى بأسعار تنافسية مقارنة بالشركات الجوية الأوروبية الأخرى.
شركات الطيران اللي كتقدم هاذشي هي الخطوط الجوية الكندي ، وخطوط دلتا الجوية، ولوفتهانزا بالنسبة للرحلات اللي جاية من أمريكا أو كندا، وويست جيت.,"Airlines that offer these include Air Canada, Delta Air Lines, Lufthansa for flights originating from the U.S. or Canada, and WestJet.",تشمل الخطوط الجوية التي تقدم هذه الخدمات الخطوط الجوية الكندية و الخطوط الجوية دلتا و Lufthansa للرحلات الجوية التي تنطلق من الولايات المتحدة أو كندا و WestJet.
آل غور والجنرال تومي فرانكس هضروا بالزربة على العناوين المفضلة عندهم (كان المفضل عند غور منين نشرات جريدة ذي أنيون أنه هو وتيبر مارسوا أفضل علاقة جنسية في حياتهم من بعد ما خسر في المجمع الانتخابي عام 2000).,Al Gore and General Tommy Franks casually rattle off their favorite headlines (Gore's was when The Onion reported he and Tipper were having the best sex of their lives after his 2000 Electoral College defeat).,قال آل غور والجنرال تومي فرانكس بشكل غير رسمي عن عناوينهم المفضلة (كان غور عندما ذكرت The Onion أنه وTipper كانا يمارسان أفضل ممارسة جنسية في حياتهم بعد هزيمته في الكلية الانتخابية في عام 2000).
وقال الإسكندر بما أنه ملك، أنه غادي يخلص باش يعاودوا يبنيوا المعبد، لكن العرض دياله اترفض، ومن بعد، ومن بعد ما مات الإسكندر، عاودوا بناو المعبد في عام 323 قبل الميلاد.,"Alexander, as king, offered to pay to rebuild the temple, but his offer was denied. Later, after Alexander died, the temple was rebuilt in 323 BCE.",عرض الإسكندر، كملك، دفع ثمن إعادة بناء المعبد، لكن عرضه تم رفضه في وقت لاحق، بعد وفاة الإسكندر، تم إعادة بناء المعبد في عام 323 قبل الميلاد.
كتدير المنظمة العالمية تقارير باللغات الإنجليزية واليابانية من قبل، ودابا دارت برامج باللغة الإسبانية والإيطالية والكورية للتلفزيون والانترنت والبورطابلات.,"Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.",وتقوم المنظمة العالمية بالفعل بتقديم تقارير باللغة الإنجليزية واليابانية، وتقوم بإطلاق برامج باللغة الإسبانية والإيطالية والكورية للتلفزيون والإنترنت والأجهزة المحمولة.
أيضًا يمكن لك تعطيهم نسخ من البوليصة / الأرقام والعناوين ديال صحابك في السفر والعائلة أو الأصدقاء في بلادك اللي باغيين المساعدة.,Also give policy/contact copies to traveling companions and relatives or friends back home willing to help.,كما أعطي نسخًا من السياسة أو بيانات الاتصال لرفاق السفر والأقارب أو الأصدقاء في الوطن الذين يرغبون في المساعدة.
كذلك، في المناخ اللي كيكون دافي أكثر، كتكبر البكتيريا بسرعة كبيرة وكتعيش فترة أطول برا دالجسم.,"Also, in warmer climates bacteria both grow more quickly and survive longer outside the body.",أيضًا ، في المناخات الأكثر دفئًا ، تنمو البكتيريا بشكل أسرع وتبقى على قيد الحياة لفترة أطول خارج الجسم.
واخا أن تشيلي علنات على استقلالها في عام 1810 (وسط حروب نابليون التي خلات إسبانيا بلا حكومة مركزية عاملة لمدة عامين)، ولكن النصر الحاسم على الإسبان ما تحققش حتى لعام 1818.,"Although Chile declared independence in 1810 (amid the Napoleonic wars that left Spain without a functioning central government for a couple of years), decisive victory over the Spanish was not achieved until 1818.",على الرغم من أن تشيلي أعلنت استقلالها في عام 1810 (في وسط الحروب النابليونية التي تركت إسبانيا بدون حكومة مركزية عاملة لمدة عامين) ، إلا أن النصر الحاسم على الإسبان لم يتحقق حتى عام 1818.
واخا خروتشوف ف التالي صيفط دبابات باش بفرض النظام، ولكن خلا المجال لشي مطالب اقتصادية ووافق باش يعين فلاديسلاف جومولكا المشهور رئيس للوزراء.,"Although in the end, Krushchev sent in tanks to restore order, he did give way to some economic demands and agreed to appoint the popular Wladyslaw Gomulka as the new prime minister.",على الرغم من أنه في النهاية ، أرسل خروتشوف دبابات لاستعادة النظام ، إلا أنه استسلم لبعض المطالب الاقتصادية ووافق على تعيين فلاديسلاو غومولكا الشهير كرئيس وزراء جديد.
واخا أنها ممكن توقع من الناحية النظرية كل عام (حيث موجودة في دول مختلفة)، ولكن راها ماشي هكاك من الناحية العملية.,"Although in theory they can take place annually (so long as they are in different countries), in practice they are not.",على الرغم من أنه من الناحية النظرية يمكن أن تجري سنويًا (طالما أنها في بلدان مختلفة) ، إلا أنها ليست كذلك في الممارسة العملية.
واخا الحالة الفيزيائية دياله تقدر تتغير، ولكن حالته الكيميائية كتبقى كيفما هي.,"Although its physical state may change, its chemical state remains the same.",على الرغم من أن حالته الفيزيائية قد تتغير، إلا أن حالتها الكيميائية تبقى نفسها.
واخا الغالبية ديال الوكالات كتستعد باش تاخذ أغلب الحجوزات المنتظمة، وبكن بزاف ديال الوكلاء متخصصين في أنواع معينة من السفر أو الحدود ديال الميزانية أو الوجهات.,"Although most agencies are willing to take on most regular bookings, many agents specialise in particular types of travel, budget ranges or destinations.",على الرغم من أن معظم الوكالات مستعدة لاتخاذ معظم الحجوزات العادية ، إلا أن العديد من الوكلاء متخصصون في أنواع معينة من السفر أو نطاقات الميزانية أو الوجهات.
واخا تكهنو شي علماء بأنه حيث كانت موجودة كذلك في أحواض واد ساراسواتي الجاف دابا، فخاص تسمى حضارة السند والساراسواتي فعوض حضارة نهر السند، ولكن شي وحدين آخرين كيسميوها الحضارة الهارابية نسبةً لقرية هارابا حيث تم التنقيب على أول المواقع ديالها في العشرينيات.,"Although some scholars speculate that since the civilisation also existed in the basins of the now dried up Sarasvati River, it should be aptly called the Indus-Sarasvati Civilization, while some call it the Harappan Civilization after Harappa, the first of its sites to be excavated in the 1920s.",على الرغم من أن بعض العلماء يفترضون أنه نظرًا لأن الحضارة كانت موجودة أيضًا في أحواض نهر ساراسفاتي المجففة الآن ، يجب أن تسمى بشكل مناسب حضارة السندوس - ساراسفاتي ، في حين أن البعض يطلق عليها حضارة هارابا بعد هارابا ، أول مواقعها التي تم حفرها في عشرينيات القرن الماضي.
واخا كتظن باللي يمكن ساهل تنضم لشي شركة ديال الطيران وتسافر معاهم بزاف، ولكن خاصك تعرف أن الامتيازات اللي كيقدموها غالبًا ما كتكون مختلفة وأن نقاط المسافر الدائم يمكن تكون أكثر سخاءً في شي شركة طيران مختلفة من نفس التحالف.,"Although you may think it is intuitive to join the airline you fly most, you should be aware that privileges offered are often different and frequent flyer points may be more generous under a different airline in the same alliance.",على الرغم من أنك قد تعتقد أنه من البديهي الانضمام إلى شركة الطيران التي تطير بها أكثر ، يجب أن تكون على علم بأن الامتيازات المقدمة غالباً ما تكون مختلفة وقد تكون نقاط الطيران المتكرر أكثر سخاءً تحت شركة طيران مختلفة في نفس التحالف.
من بين هاد القدرات، فهم نية دلوخرين مهم بزاف. تيخلينا نفهمو الغموض المحتمل اللي كاين ف الحركات الجسدية.,"Among these abilities, understanding the intention of others is crucial. It allows us to resolve possible ambiguities of physical actions.",من بين هذه القدرات ، فهم نية الآخرين أمر حاسم ، لأنه يسمح لنا بحل الغموضات المحتملة للأفعال الجسدية.
واحد سفينة ديال الكشفٍ على الألغام موديل أفينجر، كانت السفينة غادية لبويرتو برنسيسا ف بالاوان.,"An Avenger class mine countermeasures ship, the ship was on its way to Puerto Princesa in Palawan.",سفينة مكافحة الألغام من فئة (أفنجر) ، كانت السفينة في طريقها إلى (بويرتو برنسيسا) في (بالاوان).
"300 عربة إضافية غادي تزيد العدد الإجمالي إلى 1,300 عربة غادي يجيبوهم باش يحلوا المشكلة ديال الزحام.","An additional 300 brings the total to 1,300 carriages to be acquired to relieve overcrowding.",300 إضافية تجلب المجموع إلى 1300 عربة ليتم الحصول عليها لتخفيف الاكتظاظ.
